Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.001846,2.893826007843018,0.032114,51.05728208670541,0.030298,47.5,0.064257
0.001858,2.893826007843018,0.032324,50.51050566046896,0.030496,47.5,0.064678
0.001870,2.893826007843018,0.032535,50.57600131069575,0.030694,47.5,0.065099
0.001882,2.893826007843018,0.032744,50.23121623480904,0.030892,47.5,0.065518
0.001894,2.893826007843018,0.032956,50.76646021315823,0.031090,47.5,0.065940
0.001906,2.893826007843018,0.033165,50.31268530813895,0.031288,47.5,0.066359
0.001917,2.893826007843018,0.033366,50.74863775759706,0.031475,47.5,0.066758
0.000005,2.893826007843018,0.000083,50.92844743721556,0.000078,47.5,0.000166
0.000005,2.893826007843018,0.000097,52.377579702466285,0.000088,47.5,0.000190
0.000005,2.893826007843018,0.000098,52.48024433861468,0.000088,47.5,0.000191
