Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.000991,4.485667705535889,0.043666,197.85928371076326,0.007182,32.5,0.051840
0.001010,4.485667705535889,0.044491,197.98835548410014,0.007318,32.5,0.052819
0.001029,4.485667705535889,0.045315,197.91229314378324,0.007453,32.5,0.053797
0.001047,4.485667705535889,0.046126,194.53605571504983,0.007589,32.5,0.054762
0.001066,4.485667705535889,0.046952,198.17746897642908,0.007724,32.5,0.055742
0.001085,4.485667705535889,0.047776,197.97005667061725,0.007860,32.5,0.056721
0.001103,4.485667705535889,0.048601,197.93609418139616,0.007995,32.5,0.057699
0.001122,4.485667705535889,0.049427,198.1797745414313,0.008130,32.5,0.058679
0.001141,4.485667705535889,0.050253,198.3042978426633,0.008266,32.5,0.059659
0.001159,4.485667705535889,0.051085,198.2440425719482,0.008402,32.5,0.060646
0.001178,4.485667705535889,0.051895,194.49311828905385,0.008538,32.5,0.061611
0.001197,4.485667705535889,0.052722,198.48677112227165,0.008673,32.5,0.062592
0.001216,4.485667705535889,0.053547,198.02000794949797,0.008808,32.5,0.063571
0.001234,4.485667705535889,0.054378,198.20746058595105,0.008945,32.5,0.064558
0.001253,4.485667705535889,0.055210,198.18864529698166,0.009081,32.5,0.065544
0.001272,4.485667705535889,0.056038,198.82305420571728,0.009217,32.5,0.066527
0.001291,4.485667705535889,0.056866,198.62232481842844,0.009352,32.5,0.067508
0.001309,4.485667705535889,0.057694,198.76113742064908,0.009487,32.5,0.068490
0.001328,4.485667705535889,0.058508,195.50164698065146,0.009623,32.5,0.069459
0.001347,4.485667705535889,0.059332,196.78804286269795,0.009759,32.5,0.070438
0.001366,4.485667705535889,0.060162,197.90903528064217,0.009895,32.5,0.071422
0.001384,4.485667705535889,0.060991,199.04944406031765,0.010031,32.5,0.072406
0.001403,4.485667705535889,0.061822,198.3963288570747,0.010167,32.5,0.073392
0.001422,4.485667705535889,0.062649,198.34580918907938,0.010302,32.5,0.074373
0.001440,4.485667705535889,0.063475,198.33515880225224,0.010438,32.5,0.075353
0.001459,4.485667705535889,0.064308,199.81474732358595,0.010573,32.5,0.076340
0.001478,4.485667705535889,0.065122,195.5251984792331,0.010708,32.5,0.077308
0.001496,4.485667705535889,0.065948,198.27442118318024,0.010844,32.5,0.078288
0.001515,4.485667705535889,0.066776,198.643330646448,0.010979,32.5,0.079270
0.001534,4.485667705535889,0.067604,198.85146855660716,0.011115,32.5,0.080253
0.001553,4.485667705535889,0.068431,198.51748321878335,0.011250,32.5,0.081234
0.001571,4.485667705535889,0.069257,198.09664842165904,0.011386,32.5,0.082213
0.001590,4.485667705535889,0.070081,197.47105412787312,0.011521,32.5,0.083192
0.001609,4.485667705535889,0.070907,198.2375315108301,0.011657,32.5,0.084172
0.001627,4.485667705535889,0.071720,195.24533013487218,0.011792,32.5,0.085140
0.001646,4.485667705535889,0.072545,197.8927304793716,0.011927,32.5,0.086118
0.001665,4.485667705535889,0.073372,198.5747739787792,0.012063,32.5,0.087100
0.001683,4.485667705535889,0.074199,198.49028102088545,0.012198,32.5,0.088081
0.001702,4.485667705535889,0.075028,197.67853770756955,0.012335,32.5,0.089065
0.001721,4.485667705535889,0.075860,199.78235970039344,0.012470,32.5,0.090051
0.001740,4.485667705535889,0.076687,198.3800947988988,0.012605,32.5,0.091032
0.001758,4.485667705535889,0.077513,198.29365439887806,0.012741,32.5,0.092012
0.001777,4.485667705535889,0.078328,195.7443118285415,0.012876,32.5,0.092982
0.001796,4.485667705535889,0.079153,197.86297191747389,0.013012,32.5,0.093960
0.001814,4.485667705535889,0.079978,197.9622856695963,0.013147,32.5,0.094939
0.001833,4.485667705535889,0.080804,198.37819280519278,0.013282,32.5,0.095920
0.001852,4.485667705535889,0.081629,197.70678813789482,0.013418,32.5,0.096898
0.001870,4.485667705535889,0.082453,197.79361026303437,0.013553,32.5,0.097876
0.001889,4.485667705535889,0.083278,198.06281877634706,0.013689,32.5,0.098856
0.001908,4.485667705535889,0.084104,197.7732809797097,0.013825,32.5,0.099836
0.001926,4.485667705535889,0.084922,196.3745770836799,0.013960,32.5,0.100808
0.001945,4.485667705535889,0.085748,198.2951406287059,0.014095,32.5,0.101789
0.001964,4.485667705535889,0.086574,198.37640971571398,0.014231,32.5,0.102769
0.001983,4.485667705535889,0.087399,198.0004679802048,0.014366,32.5,0.103748
0.002001,4.485667705535889,0.088227,198.60936542880287,0.014502,32.5,0.104730
0.002020,4.485667705535889,0.089053,198.24089210056292,0.014637,32.5,0.105710
0.002039,4.485667705535889,0.089877,197.71959912814512,0.014772,32.5,0.106688
0.002057,4.485667705535889,0.090704,198.60270865894225,0.014908,32.5,0.107669
0.002076,4.485667705535889,0.091518,194.8912609571822,0.015044,32.5,0.108638
0.002095,4.485667705535889,0.092344,197.9570939369409,0.015179,32.5,0.109618
0.002113,4.485667705535889,0.093176,199.7924998231972,0.015315,32.5,0.110604
0.002132,4.485667705535889,0.094001,198.06046597247985,0.015450,32.5,0.111583
0.002151,4.485667705535889,0.094825,197.31259471677077,0.015586,32.5,0.112562
0.002170,4.485667705535889,0.095652,198.47345660951117,0.015721,32.5,0.113543
0.002188,4.485667705535889,0.096477,197.96015850860437,0.015857,32.5,0.114522
0.002207,4.485667705535889,0.097298,196.27600058188128,0.015993,32.5,0.115497
0.002226,4.485667705535889,0.098125,198.69286034904556,0.016128,32.5,0.116479
